time, speed, delta_speed_average, delta_speed_prev
38938, 36, 2.0, 1.6
38948, 41, 1.0, 2.0
38957, 40, -0.8, 1.0
38967, 46, 3.0, -0.8
38977, 44, 3.2, 3.0
38990, 42, 1.2, 3.2
38998, 46, 1.0, 1.2
39007, 48, 1.6, 1.0
39018, 51, 1.0, 1.6
39028, 65, 4.2, 1.0
39038, 68, 5.2, 4.2
39048, 48, 0.4, 5.2
39061, 54, 1.2, 0.4
39070, 49, -0.4, 1.2
39079, 38, -5.4, -0.4
39114, 16, -10.4, -5.4
39124, 28, -4.0, -10.4
39133, 29, -5.0, -4.0
39145, 20, -5.8, -5.0
39154, 26, -2.4, -5.8
39164, 11, -1.0, -2.4
39174, -3, -6.2, -1.0
39184, -12, -8.199999999999999, -6.2
39195, -5, -5.0, -8.199999999999999
39199, 0, -5.2, -5.0
39207, -6, -2.2, -5.2
39216, -10, -0.2, -2.2
39224, -23, -1.0, -0.2
39231, -25, -2.8, -1.0
39239, -36, -6.0, -2.8
39250, -35, -5.8, -6.0
39259, -27, -3.4, -5.8
39267, -28, -1.0, -3.4
39275, -31, -1.2, -1.0
39284, -31, 1.0, -1.2
39289, -33, 0.4, 1.0
39298, -46, -3.8, 0.4
39306, -24, 0.8, -3.8
39315, -36, -1.0, 0.8
39323, -50, -3.8, -1.0
39331, -41, -1.6, -3.8
39341, -26, 4.0, -1.6
39351, -10, 2.8, 4.0
39358, -20, 3.2, 2.8
39366, -21, 5.8, 3.2
39374, -26, 3.0, 5.8
39383, -21, 1.0, 3.0
39393, -16, -1.2, 1.0
39403, -14, 1.2, -1.2
39411, -13, 1.6, 1.2
39420, -11, 3.0, 1.6
39428, -8, 2.6, 3.0
39436, -6, 2.0, 2.6
39447, -7, 1.4, 2.0
39460, -5, 1.6, 1.4
39478, -6, 1.0, 1.6
39488, 5, 2.6, 1.0
39500, 4, 2.0, 2.6
39515, 0, 1.4, 2.0
39524, -13, 1.0, 1.4
39529, -17, 0.4, 1.0
39538, -12, -0.8, 0.4
39552, 29, 7.6, -0.8
39560, -9, 0.8, 7.6
39569, -22, -1.8, 0.8
39578, -52, -7.0, -1.8
39587, -46, -6.8, -7.0
39596, -44, -14.6, -6.8
39605, -61, -10.4, -14.6
39613, -3, 3.8, -10.4
39621, -22, 6.0, 3.8
39630, -46, 0.0, 6.0
39640, -82, -4.2, -7.6
39648, -51, -9.6, -4.2
39657, -25, -0.6, -9.6
39666, -20, 5.2, -0.6
39674, -26, 11.2, 5.2
39679, -60, 4.4, 11.2
39688, -62, -2.2, 4.4
39696, -44, -3.8, -2.2
39705, -39, -3.8, -3.8
39713, -37, -2.2, -3.8
39720, -34, 5.2, -2.2
39728, -51, 2.2, 5.2
39736, -72, -5.6, 2.2
39745, -72, -6.6, -5.6
39754, -45, -1.6, -6.6
39758, -25, 1.8, -1.6
39766, -11, 8.0, 1.8
39774, -43, 5.8, 8.0
39782, -55, 3.4, 5.8
39790, -56, -2.2, 3.4
39798, -36, -2.2, -2.2
39807, 0, 2.2, -2.2
39816, -26, 7.0, 2.2
39825, -36, 7.4, 7.0
39830, -39, 7.0, 7.4
39838, -28, 5.2, 7.0
39847, 4, 4.4, 5.2
39865, 4, 6.0, 4.4
39871, -6, 6.0, 6.0
39880, -16, 4.6, 6.0
39898, 21, 9.800000000000001, 4.6
39909, 31, 5.4, 9.800000000000001
39921, 10, 1.2, 5.4
39931, 17, 4.6, 1.2
39940, 20, 7.2, 4.6
39951, 26, 1.0, 7.2
39962, 25, -1.2, 1.0
39973, 30, 4.0, -1.2
39989, 37, 4.0, 4.0
40000, 15, -1.0, 4.0
40011, 40, 2.8, -1.0
40021, 13, -2.4, 2.8
40030, 32, 0.4, -2.4
40039, 3, -6.8, 0.4
40048, 42, 5.4, -6.8
40057, 23, -3.4, 5.4
40067, 8, -1.0, -3.4
40076, 13, -3.8, -1.0
40087, 18, 3.0, -3.8
40096, 11, -6.2, 3.0
40107, 6, -3.4, -6.2
40118, 0, -1.6, -3.4
40145, 21, -2.6, -1.6
40150, 1, -7.6, -2.6
40158, -8, -8.0, -7.6
40168, 3, -4.8, -8.0
40176, 5, -3.2, -4.8
40186, 4, -3.4, -3.2
40195, -10, -2.2, -3.4
40204, -6, 0.4, -2.2
40211, 11, 1.6, 0.4
40226, 10, 1.0, 1.6
40230, 12, 1.6, 1.0
40239, 26, 7.2, 1.6
40248, 30, 7.2, 7.2
40265, 19, 1.6, 7.2
40275, 36, 5.2, 1.6
40285, 40, 5.6, 5.2
40295, 30, 0.8, 5.6
40303, 50, 4.0, 0.8
40311, 33, 2.8, 4.0
40321, 39, 0.6, 2.8
40330, 51, 2.2, 0.6
40340, 63, 6.6, 2.2
40348, 52, 0.4, 6.6
40358, 52, 3.8, 0.4
40367, 74, 7.0, 3.8
40378, 57, 1.2, 7.0
40386, 65, 0.4, 1.2
40396, 50, -0.4, 0.4
40405, 64, 2.4, -0.4
40410, 70, -0.8, 2.4
40418, 48, -1.8, -0.8
40429, 46, -3.8, -1.8
40437, 35, -3.0, -3.8
40446, 34, -6.0, -3.0
40458, 54, -3.2, -6.0
40468, 43, -1.0, -3.2
40478, 33, -2.6, -1.0
40487, 14, -4.2, -2.6
40495, 28, -1.2, -4.2
40505, 27, -5.4, -1.2
40513, 20, -4.6, -5.4
40523, -1, -6.8, -4.6
40533, -3, -3.4, -6.8
40541, 1, -5.4, -3.4
40550, -4, -6.2, -5.4
40558, 0, -4.0, -6.2
40567, -9, 0.2, -4.0
40577, -21, -1.8, 0.2
40585, -24, -3.2, -1.8
40594, -26, -2.6, -3.2
40602, -20, -2.2, -2.6
40607, -18, -1.8, -2.2
40615, -19, 0.4, -1.8
40623, -28, -0.8, 0.4
40644, -20, 1.2, -0.8
40662, -18, 0.4, 1.2
40677, -15, 0.6, 0.4
40687, -10, 1.8, 0.6
40696, -12, 3.2, 1.8
40705, -18, 0.4, 3.2
40715, -13, 1.0, 0.4
40723, -11, 0.8, 1.0
40735, 2, 2.4, 0.8
40746, 8, 4.0, 2.4
40756, 5, 4.6, 4.0
40765, -1, 2.4, 4.6
40784, 7, 3.6, 2.4
40797, 16, 2.8, 3.6
40806, 9, 0.2, 2.8
40819, 5, 0.0, 0.2
40833, 3, -0.8, 0.6
40844, 8, -1.6, -0.8
40851, 4, -1.0, -1.6
40860, -12, -3.4, -1.0
40869, -21, -4.6, -3.4
40880, -11, -2.8, -4.6
40889, -15, -4.6, -2.8
40900, -23, -5.4, -4.6
40910, -39, -5.4, -5.4
40918, -40, -3.8, -5.4
40930, -39, -5.6, -3.8
40937, -49, -6.8, -5.6
40950, -55, -6.4, -6.8
40961, -59, -4.0, -6.4
40972, -62, -4.4, -4.0
40981, -59, -4.0, -4.4
40993, -63, -2.8, -4.0
41000, -74, -3.8, -2.8
41008, -75, -3.2, -3.8
41020, -69, -1.4, -3.2
41031, -67, -1.6, -1.4
41039, -66, -0.6, -1.6
41050, -57, 3.4, -0.6
41068, -76, -0.2, 3.4
41080, -52, 3.4, -0.2
41100, -40, 5.4, 3.4
41110, -45, 4.2, 5.4
41119, -38, 3.8, 4.2
41131, -24, 10.4, 3.8
41140, -29, 4.6, 10.4
41173, -15, 5.0, 4.6
41180, -6, 7.8, 5.0
41195, 3, 8.199999999999999, 7.8
41204, -2, 4.4, 8.199999999999999
41222, 7, 7.2, 4.4
41231, 18, 6.6, 7.2
41245, 7, 2.6, 6.6
41259, 0, -0.6, 2.6
41269, 8, 3.2, -0.6
41277, 17, 3.2, 3.2
41289, 29, 3.4, 3.2
41297, 30, 5.8, 3.4
41306, -16, -2.0, 5.8
41322, 22, 2.8, -2.0
41331, 10, -1.4, 2.8
41344, 3, -5.2, -1.4
41354, -21, -10.2, -5.2
41362, 0, 3.2, -10.2
41376, 2, -4.4, 3.2
41385, 10, -0.4, -4.4
41396, -4, -1.8, -0.4
41408, 6, 5.0, -1.8
41420, 18, 3.2, 5.0
41429, -11, -2.6, 3.2
41445, 3, -1.4, -2.6
41450, 4, 1.6, -1.4
41474, 22, 3.2, 1.6
41485, -20, -7.6, 3.2
41498, -15, -0.8, -7.6
41516, 10, 1.4, -0.8
41525, 14, 2.0, 1.4
41544, -2, -4.8, 2.0
41561, 36, 11.2, -4.8
41570, 53, 13.6, 11.2
41580, 26, 3.2, 13.6
41593, 11, -0.6, 3.2
41604, 37, 7.8, -0.6
41615, 38, 0.4, 7.8
41652, 43, -2.0, 0.4
41668, 74, 9.6, -2.0
41679, 54, 8.6, 9.6
41695, 42, 1.0, 8.6
41706, 51, 2.6, 1.0
41718, 74, 6.2, 2.6
41728, 75, 0.2, 6.2
41737, 48, -1.2, 0.2
41749, 38, -0.8, -1.2
41764, 42, -1.8, -0.8
41775, 49, -5.0, -1.8
41785, 37, -7.6, -5.0
41806, 36, -2.4, -7.6
41817, 41, 0.6, -2.4
41827, 34, -1.6, 0.6
41836, 25, -4.8, -1.6
41850, 11, -5.2, -4.8
41866, 30, -1.2, -5.2
41888, 19, -4.4, -1.2
41898, 0, -6.8, -4.4
41908, -2, -5.0, -6.8
41925, -7, -3.2, -5.0
41933, 5, -4.6, -3.2
41949, -5, -4.4, -4.6
41965, -5, -0.6, -4.4
41973, 1, 0.6, -0.6
41982, -9, -0.4, 0.6
41990, -5, -2.0, -0.4
41999, 0, 1.0, -2.0
42009, -14, 1.0, 1.0
42019, -8, 1.0, 1.0
42031, -2, 4.2, 1.0
42040, -7, 2.4, 4.2
42048, -10, 0.8, 2.4
42056, -21, -1.4, 0.8
42065, -20, -2.4, -1.4
42071, -10, -1.6, -2.4
42080, -8, -0.2, -1.6
42089, -2, 1.6, -0.2
42098, 0, 4.2, 1.6
42106, -5, 4.6, 4.2
42118, 4, 4.4, 4.6
42126, -9, 1.4, 4.4
42134, -12, -0.4, 1.4
42139, -13, -1.0, -0.4
42148, 5, 2.0, -1.0
42162, 8, 0.8, 2.0
42167, 1, 2.0, 0.8
42176, 12, 4.8, 2.0
42201, -22, -1.8, 4.8
42215, -35, -8.0, -1.8
42220, 3, -1.0, -8.0
42229, -17, -3.6, -1.0
42237, -32, -8.800000000000001, -3.6
42247, -27, -1.0, -8.800000000000001
42255, -19, 3.2, -1.0
42285, -66, -13.8, 3.2
42289, -49, -6.4, -13.8
42297, -28, 0.8, -6.4
42306, -8, 3.8, 0.8
42318, -28, -1.8, 3.8
42326, -80, -2.8, -1.8
42330, -80, -6.2, -2.8
42339, -60, -6.4, -6.2
42348, -53, -9.0, -6.4
42357, -40, -2.4, -9.0
42366, -47, 6.6, -2.4
42373, -78, 0.4, 6.6
42381, -56, 0.8, 0.4
42390, -63, -2.0, 0.8
42398, -64, -4.8, -2.0
42406, -36, 2.2, -4.8
42416, -26, 10.4, 2.2
42424, -31, 5.0, 10.4
42431, -59, 0.8, 5.0
42439, -47, 3.4, 0.8
42448, -51, -3.0, 3.4
42457, -24, 0.4, -3.0
42467, -29, 0.4, 0.4
42475, -12, 9.4, 0.4
42485, -28, 3.8, 9.4
42489, -31, 4.0, 3.8
42498, -63, -7.8, 4.0
42506, -48, -3.8, -7.8
42516, -18, -1.2, -3.8
42525, 21, 9.800000000000001, -1.2
42533, 8, 7.8, 9.800000000000001
42540, -24, 7.8, 7.8
42548, -46, 0.4, 7.8
42556, -36, -3.6, 0.4
42564, -14, -7.0, -3.6
42575, 6, -0.4, -7.0
42585, 5, 5.8, -0.4
42592, -13, 6.6, 5.8
42600, -35, 0.2, 6.6
42609, -31, -3.4, 0.2
42620, 14, 1.6, -3.4
42631, -13, -3.6, 1.6
42639, -1, 2.4, -3.6
42649, -12, 4.6, 2.4
42659, 7, 7.6, 4.6
42676, -2, -3.2, 7.6
42686, -2, 2.2, -3.2
42692, 2, 0.6, 2.2
42700, 25, 7.4, 0.6
42708, 17, 2.0, 7.4
42717, 11, 2.6, 2.0
42727, 4, 1.2, 2.6
42738, 33, 6.2, 1.2
42749, 24, -0.2, 6.2
42757, 39, 4.4, -0.2
42766, 38, 5.4, 4.4
42776, 29, 5.0, 5.4
42786, 24, -1.8, 5.0
42796, 14, -2.0, -1.8
42805, 36, -0.6, -2.0
42815, 38, 0.0, -0.6
42826, 50, 5.2, 4.2
42836, 37, 4.6, 5.2
42845, 25, -2.2, 4.6
42854, 34, -0.8, -2.2
42863, 36, -2.8, -0.8
42873, 59, 1.8, -2.8
42881, 44, 1.4, 1.8
42890, 42, 3.4, 1.4
42899, 36, 0.4, 3.4
42907, 36, 0.0, 0.4
42919, 44, 0.0, -3.0
42931, 42, 1.2, 1.2
42939, 46, 0.4, 1.2
42949, 42, -0.4, 0.4
42958, 41, -0.2, -0.4
42966, 38, -0.8, -0.2
42976, 42, 0.0, -0.8
42990, 46, 0.8, 0.6
42998, 46, 1.0, 0.8
43007, 36, -0.4, 1.0
43017, 39, -0.6, -0.4
43031, 38, -2.2, -0.6
43040, 39, -1.4, -2.2
43049, 40, -1.2, -1.4
43058, 39, 0.6, -1.2
43075, 27, -2.4, 0.6
43086, 15, -4.6, -2.4
43103, 47, 1.6, -4.6
43111, 37, -0.6, 1.6
43129, -1, -8.0, -0.6
43138, 17, -2.0, -8.0
43149, 26, 2.2, -2.0
43161, 4, -8.6, 2.2
43174, 11, -5.2, -8.6
43183, -2, -0.2, -5.2
43192, 27, 2.0, -0.2
43200, 9, -3.4, 2.0
43208, -13, -3.4, -3.4
43236, -1, -2.4, -3.4
43241, -2, 0.0, -2.4
43250, -7, -3.2, -6.8
43260, 3, 3.2, -3.2
43268, 1, 0.4, 3.2
43276, -13, -2.2, 0.4
43290, -2, 1.0, -2.2
43299, -4, 0.6, 1.0
43308, 2, -0.2, 0.6
43319, 13, 2.4, -0.2
43327, -9, 0.8, 2.4
43336, -14, -2.4, 0.8
43345, -5, -0.2, -2.4
43349, -11, -2.6, -0.2
43358, 4, -1.8, -2.6
43367, -2, 1.4, -1.8
43374, -11, 0.6, 1.4
43382, -12, -1.4, 0.6
43392, -20, -1.8, -1.4
43400, -25, -5.8, -1.8
43410, 1, 0.6, -5.8
43419, 4, 3.0, 0.6
43427, -14, -0.4, 3.0
43437, -30, -2.0, -0.4
43446, -27, -0.4, -2.0
43450, -14, -3.0, -0.4
43459, -8, -2.4, -3.0
43475, -44, -6.0, -2.4
43497, -29, 0.2, -6.0
43508, -39, -2.4, 0.2
43517, -14, 0.0, -2.4
43527, -31, 2.6, -6.4
43537, -38, -1.8, 2.6
43546, -41, -0.4, -1.8
43550, -46, -6.4, -0.4
43566, -20, 4.0, -6.4
43571, -27, 0.8, 4.0
43579, -36, 0.4, 0.8
43588, -49, -1.6, 0.4
43597, -49, -0.6, -1.6
43606, -32, -2.4, -0.6
43613, -27, 0.0, -2.4
43621, -31, 3.6, 1.0
43630, -38, 2.2, 3.6
43639, -42, -2.0, 2.2
43647, -36, -1.8, -2.0
43655, -28, 0.6, -1.8
43664, -27, 0.8, 0.6
43670, -37, 0.2, 0.8
43678, -38, 0.8, 0.2
43686, -30, 1.2, 0.8
43696, -27, 0.2, 1.2
43704, -19, 1.6, 0.2
43708, -21, 3.2, 1.6
43716, -20, 3.6, 3.2
43724, -24, 1.2, 3.6
43733, -24, 0.6, 1.2
43742, -9, 2.0, 0.6
43750, -1, 4.0, 2.0
43761, -41, -4.2, 4.0
43770, -28, -0.8, -4.2
43778, -15, 1.8, -0.8
43787, -2, 1.4, 1.8
43797, -9, -1.6, 1.4
43805, -22, 3.8, -1.6
43813, -14, 2.8, 3.8
43818, -19, -0.8, 2.8
43827, 2, 0.8, -0.8
43835, -40, -6.2, 0.8
43844, -21, 0.2, -6.2
43850, -20, -1.2, 0.2
43860, -12, 1.4, -1.2
43875, -25, -5.4, 1.4
43889, -22, 3.6, -5.4
43898, -22, -0.2, 3.6
43907, -5, 3.0, -0.2
43918, -13, -0.2, 3.0
43928, -11, 2.8, -0.2
43936, -20, 0.4, 2.8
43946, -18, 0.8, 0.4
43956, -17, -2.4, 0.8
43965, -26, -2.6, -2.4
43970, -14, -0.6, -2.6
43978, -13, 1.4, -0.6
43986, -6, 2.4, 1.4
43995, -3, 2.8, 2.4
44003, -19, 1.4, 2.8
44010, -22, -1.6, 1.4
44020, -12, 0.2, -1.6
44030, -2, 0.8, 0.2
44039, 13, 3.2, 0.8
44049, 2, 4.2, 3.2
44058, -8, 2.8, 4.2
44067, -1, 2.2, 2.8
44075, 10, 2.4, 2.2
44080, -6, -3.8, 2.4
44089, 19, 3.4, -3.8
44099, 37, 9.0, 3.4
44108, 32, 6.6, 9.0
44117, 10, 0.0, 6.6
44130, 17, -0.4, 3.6
44139, 30, -1.4, -0.4
44147, 28, -0.8, -1.4
44158, 17, 1.4, -0.8
44168, 28, 3.2, 1.4
44176, 28, 2.2, 3.2
44186, 32, 0.4, 2.2
44196, 37, 1.8, 0.4
44206, -2, -3.8, 1.8
44216, 10, -3.6, -3.8
44220, 47, 3.8, -3.6
44229, 61, 5.8, 3.8
44238, 73, 7.2, 5.8
44246, 21, 4.6, 7.2
44256, 4, -1.2, 4.6
44273, 16, -6.2, -1.2
44309, 10, -10.2, -6.2
44317, 12, -12.2, -10.2
44335, 32, 2.2, -12.2
44348, 50, 9.199999999999999, 2.2
44357, 32, 3.2, 9.199999999999999
44367, 27, 3.4, 3.2
44377, 40, 5.6, 3.4
44386, 32, 0.0, 5.6
44396, 17, -3.0, -6.0
44407, 27, 0.0, -3.0
44418, 30, -0.4, -2.0
44428, 29, 1.8, -0.4
44437, 22, 1.0, 1.8
44446, 31, 0.8, 1.0
44457, 31, 0.2, 0.8
44466, 34, 0.8, 0.2
44475, 24, -1.0, 0.8
44485, 20, -0.4, -1.0
44493, 28, -0.6, -0.4
44505, 47, 3.2, -0.6
44513, 43, 1.8, 3.2
44521, 7, -3.4, 1.8
44529, 2, -3.6, -3.4
44539, 19, -1.8, -3.6
44548, 33, -2.8, -1.8
44558, 38, -1.0, -2.8
44568, -1, -1.6, -1.0
44578, 2, 0.0, -1.6
44589, 7, -5.2, -2.0
44599, -2, -8.0, -5.2
44608, -6, -1.0, -8.0
44617, -2, -0.8, -1.0
44626, 3, -1.2, -0.8
44635, 26, 3.8, -1.2
44643, 8, 2.0, 3.8
44650, -18, -2.4, 2.0
44660, -21, -3.8, -2.4
44678, 33, 6.0, -3.8
44687, 1, -5.0, 6.0
44696, 3, -1.0, -5.0
44705, -25, -1.4, -1.0
44715, 21, 8.4, -1.4
44724, 13, -4.0, 8.4
44733, -4, -1.0, -4.0
44741, -51, -10.8, -1.0
44749, -50, -5.0, -10.8
44759, -17, -7.6, -5.0
44769, 10, -0.6, -7.6
44778, -3, 0.2, -0.6
44786, -29, 4.4, 0.2
44791, -31, 3.8, 4.4
44799, -42, -5.0, 3.8
44808, -29, -7.8, -5.0
44817, -28, -5.0, -7.8
44826, -15, 2.8, -5.0
44834, -19, 2.4, 2.8
44841, -22, 4.0, 2.4
44849, -36, -1.4, 4.0
44857, -36, -1.6, -1.4
44867, -29, -2.8, -1.6
44874, -32, -2.6, -2.8
44881, -23, -0.2, -2.6
44890, -28, 1.6, -0.2
44899, -35, 0.2, 1.6
44908, -47, -3.6, 0.2
44917, -26, 1.2, -3.6
44926, -31, -1.6, 1.2
44936, -28, 0.0, -1.6
44946, -28, 3.8, 1.6
44953, -28, -0.4, 3.8
44960, -24, 1.4, -0.4
44971, -26, 0.4, 1.4
44979, -27, 0.0, 0.4
44988, -36, -1.6, -1.6
44996, -28, -0.8, -1.6
45006, -21, 1.0, -0.8
45016, -26, 0.2, 1.0
45024, -21, 3.0, 0.2
45032, -10, 5.2, 3.0
45040, -17, 2.2, 5.2
45048, -15, 1.2, 2.2
45057, -6, 4.0, 1.2
45076, -17, 0.8, 4.0
45080, -21, -2.2, 0.8
45098, -35, -3.6, -2.2
45107, -11, 0.8, -3.6
45118, -16, -2.0, 0.8
45131, -23, -1.2, -2.0
45140, -43, -4.4, -1.2
45149, -15, 4.0, -4.4
45156, -18, -1.4, 4.0
45169, -15, 0.2, -1.4
45177, -23, 0.0, 0.2
45186, -17, -0.4, 4.8
45195, -20, -0.4, -0.4
45203, -20, -1.0, -0.4
45211, -18, 1.0, -1.0
45221, -22, -0.6, 1.0
45229, -27, -2.0, -0.6
45238, -21, -0.2, -2.0
45247, -10, 2.0, -0.2
45255, -8, 2.0, 2.0
45264, -16, 1.2, 2.0
45274, -25, 0.4, 1.2
45282, -22, -0.2, 0.4
45290, -14, -0.8, -0.2
45299, -9, -0.2, -0.8
45307, -6, 2.0, -0.2
45336, -12, 2.6, 2.0
45344, -3, 3.8, 2.6
45355, 1, 3.0, 3.8
45364, 2, 2.2, 3.0
45374, -3, 0.6, 2.2
45378, -3, 1.8, 0.6
45387, -4, -0.2, 1.8
45396, 0, -0.2, -0.2
45405, 5, -0.4, -0.2
45417, 6, 0.8, -0.4
45427, 5, 0.6, 0.8
45436, 6, 1.0, 0.6
45444, -5, -2.0, 1.0
45453, 1, -0.8, -2.0
45464, 29, 4.6, -0.8
45480, 20, 3.0, 4.6
45489, -15, -4.2, 3.0
45500, 6, 2.2, -4.2
45520, 51, 10.0, 2.2
45530, 5, -4.8, 10.0
45540, -6, -5.2, -4.8
45548, 15, 6.0, -5.2
45558, 53, 9.4, 6.0
45573, -1, -10.4, 9.4
45581, 8, 0.6, -10.4
45591, 49, 11.0, 0.6
45601, 83, 13.6, 11.0
45610, 16, -7.4, 13.6
45620, 5, 1.2, -7.4
45630, 24, 3.2, 1.2
45639, 64, 3.0, 3.2
45648, 7, -15.2, 3.0
45656, 29, 2.6, -15.2
45666, 31, 5.2, 2.6
45674, 54, 6.0, 5.2
45684, 46, -3.6, 6.0
45694, 24, 3.4, -3.6
45706, 37, 1.6, 3.4
45716, 43, 2.4, 1.6
45724, 30, -4.8, 2.4
45735, 34, -2.4, -4.8
45744, 32, 1.6, -2.4
45752, 27, -2.0, 1.6
45760, 20, -4.6, -2.0
45780, 23, -1.4, -4.6
45789, 21, -2.6, -1.4
45798, 16, -3.2, -2.6
45807, 8, -3.8, -3.2
45816, 15, -1.0, -3.8
45826, 18, -1.0, -1.0
45837, 13, -1.6, -1.0
45846, 0, -3.2, -1.6
45855, 4, -1.6, -3.2
45864, -2, -4.2, -1.6
45880, -7, -5.8, -4.2
45890, -2, -3.8, -5.8
45908, 0, -0.8, -3.8
45918, 21, -0.8, -0.8
45928, -1, -4.0, -0.8
45939, -49, -12.6, -4.0
45948, 0, -3.8, -12.6
45959, 8, -4.2, -3.8
45968, 7, -4.4, -4.2
45977, 9, 0.4, -4.4
45988, 12, 10.6, 0.4
45996, 24, 3.2, 10.6
46006, 15, 1.4, 3.2
46015, 13, 1.2, 1.4
46024, 13, 0.8, 1.2
46028, 21, 1.8, 0.8
46039, 18, -1.2, 1.8
46048, 20, 1.0, -1.2
46057, 27, 2.8, 1.0
46068, 26, 2.6, 2.8
46078, 30, 1.8, 2.6
46088, 26, 1.6, 1.8
46097, 26, 1.2, 1.6
46107, 22, -1.0, 1.2
46116, 20, -1.2, -1.0
46126, 39, 1.8, -1.2
46136, 23, -0.6, 1.8
46145, 18, -1.6, -0.6
46154, 17, -1.0, -1.6
46163, 12, -1.6, -1.0
46173, 12, -5.4, -1.6
46180, 1, -4.4, -5.4
46190, -1, -3.8, -4.4
46198, -14, -6.2, -3.8
46207, -6, -3.6, -6.2
46215, -13, -5.0, -3.6
46220, -21, -4.4, -5.0
46228, -26, -5.0, -4.4
46241, -40, -5.2, -5.0
46250, -36, -6.0, -5.2
46259, -44, -6.2, -6.0
46268, -49, -5.6, -6.2
46290, -58, -6.4, -5.6
46298, -58, -3.6, -6.4
46306, -64, -5.6, -3.6
46317, -63, -3.8, -5.6
46326, -55, -1.2, -3.8
46334, -50, 1.6, -1.2
46357, -58, 0.0, 1.6
46367, -48, 3.0, 3.2
46377, -50, 1.0, 3.0
46386, -55, -1.0, 1.0
46396, -51, 1.4, -1.0
46405, -48, 0.0, 1.4
46417, -40, 2.0, 1.6
46426, -40, 3.0, 2.0
46435, -40, 2.2, 3.0
46445, -37, 2.2, 2.2
46450, -25, 3.0, 2.2
46458, -22, 3.6, 3.0
46466, -20, 4.0, 3.6
46475, -19, 4.2, 4.0
46483, -13, 4.8, 4.2
46492, 3, 5.6, 4.8
46500, -7, 3.0, 5.6
46508, -11, 1.8, 3.0
46516, -23, -0.8, 1.8
46525, 1, 2.8, -0.8
46534, 3, 0.0, 2.8
46544, -14, -0.6, -1.4
46551, -21, 0.4, -0.6
46559, -6, -1.4, 0.4
46566, 0, -0.6, -1.4
46576, -20, 2.8, -0.6
46584, -14, 4.0, 2.8
46594, 0, 8.199999999999999, 4.0
46603, 2, 7.0, 8.199999999999999
46611, -20, 1.4, 7.0
46620, -20, 1.4, 1.4
46628, -10, 2.2, 1.4
46639, -6, 0.2, 2.2
46648, -5, -1.4, 0.2
46659, -15, 1.0, -1.4
46667, -3, 3.4, 1.0
46686, -6, 0.8, 3.4
46691, -13, -1.4, 0.8
46710, -2, 0.6, -1.4
46720, 6, 4.2, 0.6
46730, -14, -2.2, 4.2
46740, 1, 1.4, -2.2
46749, 4, 3.4, 1.4
46758, 8, 2.0, 3.4
46768, 24, 3.6, 2.0
46777, -15, -0.2, 3.6
46786, 15, 2.8, -0.2
46794, 22, 3.6, 2.8
46804, -20, -5.6, 3.6
46812, 11, -2.6, -5.6
46820, 23, 7.6, -2.6
46829, 32, 3.4, 7.6
46838, 23, 0.2, 3.4
46846, 21, 8.199999999999999, 0.2
46856, 0, -2.2, 8.199999999999999
46864, 21, -3.2, -2.2
46874, 25, -4.2, -3.2
46881, 12, -5.0, -4.2
46891, 13, -4.4, -5.0
46904, 9, -1.0, -4.4
46913, 10, -2.2, -1.0
46922, 13, -2.4, -2.2
46930, 19, 1.4, -2.4
46941, 3, -2.0, 1.4
46951, -2, -2.2, -2.0
46959, -14, -4.8, -2.2
46969, 7, -1.2, -4.8
46978, 23, 0.8, -1.2
46987, -9, -2.4, 0.8
46995, -14, -2.4, -2.4
47006, -22, -1.6, -2.4
47015, 2, -1.0, -1.6
47024, 5, -3.6, -1.0
47029, 3, 2.4, -3.6
47039, 0, 2.8, 2.4
47047, -1, 4.4, 2.8
47056, -33, -6.8, 4.4
47064, -49, -10.6, -6.8
47073, 10, 1.6, -10.6
47080, 19, 4.0, 1.6
47089, -6, -1.0, 4.0
47098, 19, 10.4, -1.0
47108, 3, 10.4, 10.4
47135, 35, 5.0, 10.4
47145, 37, 3.6, 5.0
47158, 33, 7.8, 3.6
47169, 47, 5.6, 7.8
47178, 57, 10.8, 5.6
47189, 58, 4.6, 10.8
47198, 60, 4.6, 4.6
47212, 74, 8.199999999999999, 4.6
47220, 56, 1.8, 8.199999999999999
47229, 64, 1.4, 1.8
47238, 65, 1.4, 1.4
47248, 66, 1.2, 1.4
47258, 40, -6.8, 1.2
47268, 90, 6.8, -6.8
47277, 89, 5.0, 6.8
47286, 84, 3.8, 5.0
47296, 57, -1.8, 3.8
47301, 96, 11.2, -1.8
47315, 45, -9.0, 11.2
47324, 73, -3.2, -9.0
47333, 85, 0.2, -3.2
47343, 105, 9.6, 0.2
47351, 134, 7.6, 9.6
47361, 104, 11.8, 7.6
47370, 77, 0.8, 11.8
47397, 73, -2.4, 0.8
47407, 89, -3.2, -2.4
47417, 62, -14.4, -3.2
47426, 92, -2.4, -14.4
47435, 84, 1.4, -2.4
47444, 54, -3.8, 1.4
47455, 62, -5.4, -3.8
47465, 102, 8.0, -5.4
47475, 76, -3.2, 8.0
47483, 81, -0.6, -3.2
47493, 70, 3.2, -0.6
47501, 95, 6.6, 3.2
47516, 127, 5.0, 6.6
47528, 97, 4.2, 5.0
47538, 46, -7.0, 4.2
47548, 60, -2.0, -7.0
47556, 30, -13.0, -2.0
47567, 71, -11.2, -13.0
