time, angle
6, -97
20, -85
26, -83
28, -82
35, -79
42, -77
46, -75
51, -73
64, -68
68, -66
78, -63
81, -61
87, -58
91, -57
97, -54
105, -51
118, -45
121, -43
131, -39
140, -35
152, -28
166, -24
184, -15
189, -10
195, -7
202, -3
207, -1
215, 3
253, 20
259, 20
261, 20
266, 20
269, 20
274, 20
284, 20
297, 43
300, 45
309, 47
316, 52
326, 56
333, 59
337, 60
343, 62
349, 65
367, 72
370, 74
377, 76
380, 77
386, 79
396, 81
403, 84
410, 87
421, 90
429, 92
436, 94
443, 95
458, 98
463, 100
468, 101
472, 102
479, 103
493, 105
499, 105
502, 106
508, 107
528, 109
537, 109
541, 109
548, 110
556, 110
562, 110
569, 109
575, 109
583, 109
596, 107
607, 106
610, 106
616, 105
623, 104
631, 103
638, 102
641, 101
651, 99
659, 97
667, 95
678, 92
688, 90
698, 88
702, 85
709, 83
721, 81
728, 77
730, 76
736, 74
745, 71
752, 69
758, 66
763, 65
774, 60
782, 57
792, 53
797, 51
802, 48
810, 45
819, 41
828, 36
831, 35
837, 33
842, 31
850, 26
859, 23
874, 14
887, 9
890, 7
900, 7
907, -1
948, -21
953, -21
957, -21
961, -21
963, -21
969, -21
972, -33
978, -36
981, -37
986, -40
997, -45
1006, -47
1016, -54
1023, -56
1028, -58
1036, -62
1045, -63
1050, -67
1057, -70
1061, -71
1067, -74
1078, -77
1088, -81
1091, -81
1098, -83
1106, -86
1118, -90
1120, -90
1126, -92
1129, -93
1138, -95
1140, -96
1152, -96
1159, -100
1162, -101
1168, -102
1173, -103
1179, -104
1186, -105
1195, -106
1198, -107
1208, -108
1218, -109
1221, -109
1226, -109
1231, -109
1234, -109
1240, -109
1256, -109
1259, -109
1269, -108
1276, -108
1285, -107
1290, -107
1298, -106
1308, -104
1311, -104
1324, -102
1332, -100
1337, -100
1346, -97
1358, -95
1362, -93
1368, -92
1371, -92
1378, -89
1382, -89
1390, -86
1400, -83
1411, -79
1418, -76
1421, -76
1426, -73
1432, -71
1442, -68
1448, -65
1458, -61
1466, -58
1475, -56
1480, -51
1482, -51
1488, -48
1497, -44
1500, -42
1508, -40
1515, -36
1518, -35
1527, -30
1530, -30
1537, -26
1542, -22
1549, -20
1551, -19
1558, -15
1567, -11
1569, -10
1574, -7
1580, -4
