time, angle
7, 125
18, 125
22, 100
27, 96
28, 96
34, 94
36, 92
45, 87
50, 83
56, 81
60, 78
64, 76
74, 71
78, 70
83, 65
85, 65
89, 63
92, 60
100, 56
113, 49
118, 47
131, 38
138, 36
142, 34
148, 29
152, 27
155, 25
164, 21
175, 16
182, 12
185, 10
189, 8
193, 6
197, 3
204, 1
212, -3
217, -6
228, -10
232, -12
237, -14
240, -17
244, -19
255, -23
260, -25
264, -27
268, -29
275, -31
278, -32
284, -34
291, -36
301, -41
303, -41
307, -42
310, -42
318, -45
321, -45
329, -48
334, -50
336, -51
340, -51
343, -53
350, -54
354, -55
361, -58
370, -58
375, -60
378, -60
386, -61
389, -62
402, -63
408, -64
412, -64
417, -65
422, -65
425, -65
433, -65
436, -65
441, -65
447, -65
450, -65
455, -65
457, -64
467, -64
472, -64
479, -63
482, -63
488, -62
492, -62
503, -60
506, -59
508, -59
514, -58
516, -57
525, -56
531, -54
535, -54
540, -53
545, -51
551, -50
554, -48
558, -48
568, -45
572, -43
578, -41
582, -41
588, -37
593, -35
601, -33
605, -31
609, -31
612, -28
615, -28
617, -26
627, -23
632, -20
634, -20
642, -17
646, -14
648, -14
659, -7
667, -4
672, 0
674, 0
680, 2
683, 4
690, 9
694, 11
696, 11
703, 15
711, 20
713, 20
721, 24
728, 28
734, 33
741, 35
744, 37
752, 42
754, 44
760, 46
765, 49
767, 51
774, 54
781, 58
784, 60
801, 69
803, 72
805, 72
813, 76
815, 78
825, 83
829, 85
832, 88
836, 89
838, 89
847, 94
851, 98
855, 100
857, 100
861, 102
870, 107
873, 109
880, 113
885, 115
888, 117
893, 119
897, 121
902, 123
904, 125
912, 128
913, 128
918, 130
928, 135
934, 138
937, 139
940, 141
945, 143
951, 145
956, 147
958, 147
964, 150
966, 150
971, 153
973, 153
980, 156
985, 157
992, 160
995, 161
997, 161
1010, 164
1017, 167
1023, 168
1026, 169
1033, 171
1035, 171
1041, 172
1052, 174
1056, 176
1058, 176
1065, 177
1067, 177
1074, 178
1076, 178
1084, 179
1091, 180
1094, 181
1101, 181
1107, 181
1110, 181
1117, 182
1123, 182
1126, 182
1134, 182
1138, 182
1141, 182
1147, 182
1151, 181
1155, 181
1158, 181
1162, 181
1166, 181
1171, 180
1178, 179
1182, 178
1198, 175
1204, 175
1212, 173
1214, 172
1216, 172
1221, 171
1223, 170
1228, 169
1233, 168
