time, angle
6, 158
10, 158
17, 149
21, 146
26, 145
29, 143
31, 143
34, 142
38, 140
42, 139
47, 137
50, 136
56, 134
60, 133
64, 131
68, 129
70, 128
78, 124
85, 121
88, 121
95, 117
98, 116
108, 112
115, 108
118, 106
126, 102
128, 102
132, 101
135, 98
140, 97
149, 90
162, 84
168, 82
171, 80
177, 78
184, 74
195, 68
198, 65
202, 63
207, 61
211, 59
217, 57
222, 55
230, 50
238, 46
247, 40
249, 40
254, 38
259, 36
264, 32
269, 30
272, 28
280, 24
285, 22
289, 20
297, 16
301, 14
305, 12
309, 10
312, 10
319, 6
326, 4
329, 2
335, -1
367, -13
368, -13
371, -13
375, -16
377, -18
381, -20
384, -20
387, -21
390, -23
392, -23
398, -25
402, -26
405, -28
412, -30
421, -33
424, -33
433, -35
439, -38
444, -39
446, -39
450, -40
452, -40
459, -43
468, -44
476, -46
478, -46
487, -48
492, -49
500, -51
504, -51
507, -51
511, -51
516, -53
522, -53
527, -54
530, -54
538, -54
543, -54
547, -54
554, -54
560, -54
562, -54
567, -54
576, -53
579, -53
585, -52
588, -52
597, -51
600, -51
607, -50
609, -50
611, -50
620, -49
623, -49
628, -48
632, -47
640, -46
642, -46
647, -45
648, -45
650, -45
656, -43
664, -41
668, -40
670, -40
680, -37
689, -34
696, -33
698, -33
709, -29
712, -27
716, -27
719, -25
727, -23
731, -21
736, -19
738, -19
740, -19
749, -17
760, -11
767, -9
769, -6
774, -6
777, -3
779, -3
785, 0
788, 2
824, 18
828, 20
837, 24
839, 26
841, 26
846, 29
848, 31
855, 35
861, 37
866, 39
870, 41
874, 43
880, 47
885, 49
894, 54
897, 56
901, 58
908, 63
912, 64
917, 67
920, 69
926, 71
932, 73
937, 77
942, 79
947, 81
949, 83
955, 85
960, 87
966, 91
971, 93
975, 96
981, 100
984, 102
989, 104
997, 107
1005, 111
1007, 111
1015, 115
1018, 117
1027, 120
1030, 122
1032, 122
1037, 125
1045, 129
1047, 129
1049, 131
1056, 132
1059, 134
1063, 135
1067, 137
1070, 139
1072, 139
1080, 141
1084, 143
1087, 145
1088, 145
1095, 147
1102, 150
1105, 150
1109, 152
1111, 152
1117, 155
1120, 155
1126, 157
1129, 158
1132, 158
1140, 160
1142, 161
1156, 164
1160, 165
1164, 166
1168, 167
1177, 169
1179, 169
1183, 169
1187, 169
1190, 170
1192, 170
